Date,Name,Ticker,Held,Amount,CAP,Current,Column 1,Budgets,,,,Name,Network,Held,MCAP,
 1 - Dec - 24,BeamX,BEAM,BSC,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,Delysium,AGI,BSC,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,Ton,TON,BSC,250,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Artrade,ATR,Coinex,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,BITTENSOR,TAO,Coinex,250,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Clearpool,CPOOl,Coinex,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,Entangle,ENTANGLE,Coinex,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,Ether finance,ETHFI,Coinex,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,Jupiter,JUP,SOL,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,Raydium,RAY,SOL,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,Undergraduate,UGG,SOL,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,Cetus pro,CETUS,SUI,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,Hippo,HIPPO,SUI,250,,,Y,,,,,,,,,,,
 1 - Dec - 24,X empire,X,Telegram wallet,250,,,,,,,,,,,,,,
 1 - Dec - 24,Lido,LDO,ARB,300,,,Y,,,,,,,,,,,
 1 - Dec - 24,Artificial,FET,BSC,300,,,Y,,,,,,,,,,,
 1 - Dec - 24,Polkadot,DOT,BSC,300,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Internet comp,ICP,Coinex,300,,,Y,,,,,,,,,,,
 1 - Dec - 24,Notcoin,NOT,Telegram wallet,300,,,,,,,,,,,,,,
 1 - Dec - 24,Ondo,ONDO,Coinex,350,,,Y,,,,,,,,,,,
 1 - Dec - 24,Mantra,OM,POL,350,,,Y,,,,,,,,,,,
 1 - Dec - 24,Render,RENDER,POL,350,,,Y,,,,,,,,,,,
 1 - Dec - 24,Brett based,BRETT,BASE T,400,,,Y,,,,,,,,,,,
 1 - Dec - 24,Vanarchain,VANRY,Coinex,400,,,Y,,,,,,,,,,,
 1 - Dec - 24,Toncoin,TON,Telegram wallet,450,,,Y,,,,,,,,,,,
 1 - Dec - 24,Near protocol,NEAR,BSC,500,,,Y,,,,,,,,,,,
 1 - Dec - 24,Solana,SOL,SOL,700,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Aptos,APT,APT,750,,,Y,,,,,,,,,,,
 1 - Dec - 24,Shib,SHIB,BSC,750,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Polygon,POL,POL,750,,,Y,,,,,,,,,,,
 1 - Dec - 24,Ripple,XRP,BSC,1300,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Bitcoin,BTC,ARB,1500,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Sui,SUI,SUI,1500,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Cardano,ADA,BSC,1700,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Ethereum,ETH,"ARB, ETH",3600,LCAP,,Y,,,,,,,,,,,
